,Query,Cosine Similarity
3789,aspartame cancer,0.23206866
3790,latest coronavirus news,0.23204708
3791,chronic headache,0.23202217
3792,aspergers disease,0.23198822
3793,infant cold,0.23197687
3794,implanon side effects,0.2319698
3795,mayo health,0.2319266
3796,swollen elbow,0.23181611
3797,how to stop vomiting,0.23178163
3798,best nasal spray,0.23175132
3799,staph infections,0.23169866
3800,numbness in arms,0.23167269
3801,green vomit,0.23166615
3802,ibuprofen sore throat,0.23157379
3803,to diagnose,0.23154017
3804,skin cancer signs,0.2314216
3805,yeast rash,0.23141445
3806,sexual diseases,0.23133692
3807,stomach bug uk,0.23131971
3808,rash all over body,0.2313197
3809,trouble breathing,0.23130977
3810,how to stop coughing,0.23130529
3811,typhoid,0.23126069
3812,cervical mucus before period,0.23121524
3813,fibrosis,0.23120439
3814,cancer fatigue,0.23116851
3815,period pain during pregnancy,0.23115675
3816,rash on face,0.23114957
3817,convulsion,0.23114498
3818,ear nose and throat,0.23107122
3819,amitriptyline side effects,0.23105776
3820,muscle fatigue,0.23104085
3821,online diagnosis,0.23099263
3822,migraine headache,0.2309635
3823,sinus pain relief,0.23078907
3824,hypochondria,0.23073687
3825,leg pains,0.23073147
3826,blood infection,0.23072387
3827,comorbidity,0.23070654
3828,sickle cell crisis,0.23069794
3829,prostate symptoms,0.23061055
3830,vaccination,0.2305574
3831,sinus rinse,0.23054987
3832,numbness in arm,0.23049441
3833,throbbing headache,0.23048696
3834,what is meningitis,0.23035938
3835,bleeding ulcer symptoms,0.2303569
3836,is it cold,0.23024774
3837,side effects of metronidazole,0.23013254
3838,pains during pregnancy,0.23008156
3839,acute disseminated encephalomyelitis,0.23006973
3840,stop nose running,0.23005833
3841,why do my legs ache,0.22990929
3842,cold sores in mouth,0.22990431
3843,signs of hypothyroidism,0.22987913
3844,methotrexate side effects,0.22985113
3845,cold when pregnant,0.22980699
3846,lower back ache,0.22978301
3847,superbug,0.2297411
3848,coping with depression,0.22968547
3849,twitching,0.22968191
3850,swollen neck,0.22965644
3851,bad pain,0.22962049
3852,vaccine deaths,0.22961944
3853,claritin side effects,0.22953805
3854,bloating,0.2294788
3855,tonsil infection,0.22947074
3856,is glandular fever contagious,0.22945876
3857,eye diseases,0.22942796
3858,chicken pox vaccine,0.22941226
3859,viral hepatitis,0.22937931
3860,chest pain when coughing,0.2293364
3861,empty stomach,0.22932518
3862,starve a cold,0.22931182
3863,adrenal insufficiency symptoms,0.22929081
3864,pregnant pain,0.22928983
3865,renal colic,0.22923292
3866,warfarin side effects,0.22920957
3867,uti infection,0.22920117
3868,baby chesty cough,0.22920051
3869,constant cold,0.2291627
3870,how to stop coughing fit,0.22913247
3871,sciatic nerve symptoms,0.22912912
3872,sudafed sinus,0.22909503
3873,nasal polyps,0.22908577
3874,blepharitis,0.22907303
3875,preeclampsia signs,0.22904226
3876,what causes arthritis,0.22901005
3877,swollen hands and feet,0.22899815
3878,best remedy for cough,0.22895946
3879,oral herpes,0.22894521
3880,aids,0.22892448
3881,candida infection,0.22881255
3882,what does an orgasm feel like,0.22877619
3883,headache in pregnancy,0.22875905
3884,sickle cell trait,0.22870158
3885,stomach disorders,0.22865003
3886,how to get rid of cold,0.22864832
3887,scabies pictures,0.22862776
3888,what causes pneumonia,0.22855112
3889,what is walking pneumonia,0.22854447
3890,sickle cell disease,0.22846343
3891,the measles,0.22838438
3892,fatigue meaning,0.22836593
3893,coeliac disease,0.22823763
3894,sores in mouth,0.22816133
3895,sharp pain,0.22814366
3896,bloody nose,0.22807494
3897,green monkey disease,0.22801478
3898,remedy for cold,0.22797148
3899,muscular diseases,0.22794038
3900,getting cold,0.22791609
3901,nose bleeding,0.22791435
3902,immunology,0.22786027
3903,shingles vaccination,0.22785152
3904,hand pain,0.2277868
3905,why does my throat hurt,0.22774372
3906,hives from stress,0.22773905
3907,soy allergy,0.2277269
3908,coronavirus incubation period,0.22769508
3909,cervical mucus,0.2276838
3910,what does a contraction feel like,0.22766556
3911,occipital headache,0.22763787
3912,inflamed taste bud,0.22759548
3913,what does a female orgasm feel like,0.22757575
3914,hurts to pee,0.22750257
3915,mucus in urine,0.227457
3916,multiple sclerosis diagnosis,0.22742465
3917,fungal rash,0.22736579
3918,most deadly virus,0.22729313
3919,cough during pregnancy,0.2272697
3920,dry mouth,0.22724788
3921,aching legs,0.22722241
3922,symptoms of hyperthyroidism,0.22720453
3923,sore skin,0.22719334
3924,coronavirus taste loss,0.22718742
3925,is hepatitis c contagious,0.22715363
3926,redness on face,0.22700034
3927,why do muscles ache,0.2268766
3928,symptoms of borderline personality disorder,0.22684851
3929,hand numbness,0.2267901
3930,rashes of the skin,0.22678846
3931,herpes outbreak,0.22676852
3932,sore throat at night,0.22676423
3933,neck pain,0.22675507
3934,metformin side effects,0.22673173
3935,leg rash,0.22669794
3936,vitamin e side effects,0.22667411
3937,bowel,0.22663775
3938,pompe disease,0.22660051
3939,systemic sclerosis,0.22658086
3940,best remedy for cold,0.22655985
3941,itching,0.22655402
3942,gurgling stomach,0.22651364
3943,seroquel side effects,0.2264948
3944,mental illness,0.22647712
3945,gum cancer,0.2263304
3946,chronic depression,0.22632757
3947,how to stop a tickly cough,0.22630648
3948,baby wheezing,0.22628516
3949,jc virus,0.22620232
3950,staph infection pictures,0.22619
3951,mucus on chest,0.22618736
3952,gas pains,0.22617817
3953,back pains,0.22616857
3954,no appetite,0.22615263
3955,anti inflammation diet,0.22614302
3956,irritation,0.2260958
3957,covid deaths,0.22608772
3958,facial paralysis,0.22606255
3959,tongue sores,0.22605
3960,Coronavirus disease 2019,0.22603635
3961,dog allergy,0.22602354
3962,hanta virus,0.22590798
3963,underactive thyroid symptoms,0.22587302
3964,blood in mucus,0.22579534
3965,tonsillitis without tonsils,0.2257689
3966,inflammatory foods,0.22573978
3967,skin sores,0.22569948
3968,swollen,0.22568625
3969,muscle soreness,0.22563398
3970,osteo arthritis,0.22562438
3971,hantavirus,0.22559124
3972,irritable male syndrome,0.22558986
3973,sexually transmitted disease,0.2255609
3974,periodontal disease,0.22553746
3975,swollen lymph glands,0.22551408
3976,low estrogen symptoms,0.2255051
3977,dull pain,0.22549665
3978,side effects of doxycycline,0.2254824
3979,coronavirus cases,0.22537793
3980,shingles pictures,0.2253288
3981,my stomach hurts,0.22531259
3982,viral chest infection,0.22530976
3983,lymph node infection,0.22523275
3984,fungal meningitis,0.22517976
3985,lyme disease,0.22517273
3986,zantac side effects,0.2251422
3987,covid loss of taste and smell how long,0.22510889
3988,scoliosis symptoms,0.22508432
3989,scabies photos,0.2250545
3990,puffy eyelids,0.22504023
3991,sore muscles,0.225039
3992,covid testing,0.22503453
3993,plos pathogens,0.22497642
3994,anus pain,0.22497292
3995,epstein barr virus,0.22493368
3996,cat eye infection,0.22492254
3997,hurts when i swallow,0.224913
3998,keppra side effects,0.2248982
3999,chronic urticaria,0.22485027
4000,what is a cough,0.22483458
4001,soothe,0.22478303
4002,signs of heat stroke,0.22475475
4003,shins hurt,0.2247119
4004,valerian root side effects,0.22469704
4005,is psoriasis contagious,0.22468978
4006,winter bug,0.22455773
4007,strep throat in adults,0.22454852
4008,blue waffle infection,0.22452505
4009,swollen face,0.2245095
4010,adult asthma,0.22449143
4011,side effects of vitamin d,0.22448526
4012,paracetamol or ibuprofen for sore throat,0.22447357
4013,twitching muscles,0.22446199
4014,codeine cough,0.22442171
4015,what do contractions feel like,0.22441155
4016,nyquil,0.22437474
4017,covid vaccine near me,0.22437248
4018,antiviral collection points,0.22431955
4019,non drowsy,0.22431861
4020,black vomit,0.22430778
4021,diarrhea remedies,0.22424784
4022,loss of mucus plug,0.22423759
4023,side effects of xanax,0.22409868
4024,who covid19,0.22408332
4025,breath smells,0.22407424
4026,symptoms of low estrogen,0.22407202
4027,elbow bursitis,0.22403908
4028,staph infection on face,0.22401917
4029,running knee pain,0.22397302
4030,fibromyalgia causes,0.22392523
4031,yeast infections,0.22391307
4032,allergic to dogs,0.22388506
4033,how do you catch norovirus,0.22386621
4034,what does ovulation feel like,0.22376576
4035,ocular migraines,0.22372773
4036,blocked nose headache,0.22372387
4037,hayfever,0.22371963
4038,itchy eye drops,0.22370517
4039,white discharge,0.22368975
4040,heart attack symtoms,0.22366512
4041,adult chicken pox,0.22363093
4042,vre infection,0.22359818
4043,itchy bumps,0.22351396
4044,how to sleep with a runny nose,0.22344162
4045,metronidazole side effects,0.22343099
4046,nasal polyp,0.22341317
4047,norovirus vaccine,0.22340417
4048,plasmodium,0.22339958
4049,twinge,0.22337219
4050,how long does covid cough last,0.22336552
4051,esophageal spasm,0.22334537
4052,causes of diarrhea,0.22329496
4053,disorders,0.22326884
4054,unwell crossword clue,0.22325501
4055,fatigue syndrome,0.22323655
4056,cure for hayfever,0.2232269
4057,pain in neck,0.22320256
4058,chicken pox spots,0.22319166
4059,sinus headache relief,0.22313449
4060,conjunctivitis drops,0.22300225
4061,norovirus and pregnancy,0.22299376
4062,bad hayfever,0.22296114
4063,anal rash,0.22293572
4064,prednisone side effects,0.22293034
4065,low potassium side effects,0.2229098
4066,bipolar disorders,0.22290397
4067,how to stop tickly cough,0.2228893
4068,blotchy skin,0.22288689
4069,cough remedies,0.2228632
4070,lymph node pain,0.22284809
4071,coq10 side effects,0.22282687
4072,what does breast cancer feel like,0.22282669
4073,strawberry allergy,0.22275788
4074,loss of taste covid,0.2226679
4075,milk protein allergy,0.22262083
4076,eyes itching,0.22260056
4077,cough up phlegm,0.22259808
4078,swollen clit,0.22259787
4079,latex allergy,0.22237499
4080,norwegian scabies,0.22224835
4081,vaginal discomfort,0.22224419
4082,tension headache,0.22222728
4083,bunion pain,0.22215635
4084,food poisoning onset,0.22214082
4085,lymphoma diagnosis,0.22210741
4086,nhs chicken pox,0.22207662
4087,antivirals for covid,0.22207081
4088,juvenile rheumatoid arthritis,0.22202374
4089,sores,0.22201134
4090,leg cramps cause,0.22197308
4091,cant breathe,0.22190827
4092,benadryl allergy,0.22188613
4093,e coli treatment,0.22182624
4094,verbal communication in health and social care,0.22181022
4095,for dry cough,0.22179267
4096,rash on hands,0.22178152
4097,aids epidemic,0.22174872
4098,rash on hand,0.22173658
4099,signs of ectopic pregnancy,0.22172344
4100,itchy,0.22170965
4101,cough syrup for kids,0.2216867
4102,really cold,0.22165383
4103,sinus infection home remedy,0.22165015
4104,pictures of scabies,0.22164996
4105,pituitary tumor symptoms,0.22163849
4106,muscle twitching,0.22163518
4107,animal diseases,0.22158888
4108,immunization,0.22158404
4109,cough remedy,0.22155067
4110,sinus cancer,0.22150984
4111,sharp stomach pains,0.22139753
4112,drooping eyelid,0.2213784
4113,yeast infection discharge,0.22137366
4114,stomach pain,0.221317
4115,ringworm,0.22131085
4116,muscle spasms in arm,0.2212327
4117,signs of sleep apnea,0.22121412
4118,remedies for hayfever,0.22116376
4119,frequent bowel movements,0.22115603
4120,toddler cold,0.2211524
4121,can you catch shingles from chickenpox,0.2210634
4122,cough linctus,0.22102764
4123,taking antibiotics,0.22102626
4124,shooting pain,0.22100541
4125,covid antivirals,0.22095725
4126,allergy eyes,0.22093785
4127,side effects of metformin,0.22092648
4128,slipped disc symptoms,0.22083455
4129,diagnosing diabetes,0.22076716
4130,head concussion,0.22072037
4131,eyelid swelling,0.22071293
4132,allergies in dogs,0.22070655
4133,covid results,0.22065496
4134,dry skin rash,0.22054894
4135,cold sweats,0.22049466
4136,cure a sore throat,0.22049326
4137,dermatitis,0.22045963
4138,pain after,0.22040406
4139,after antibiotics,0.22039525
4140,paracetamol empty stomach,0.2203691
4141,constantly cold,0.2203539
4142,sore shoulder,0.2203539
4143,hiv positive,0.22034448
4144,banana allergy,0.22028871
4145,benylin mucus,0.2202866
4146,fatigue nhs,0.22027507
4147,toe cramps,0.22027224
4148,forearm pain,0.22026388
4149,plural of diagnosis,0.22017993
4150,hayfever relief,0.22013327
4151,allergy eye,0.22006603
4152,bacterial conjunctivitis,0.22004487
4153,fat sick and nearly dead diet,0.22001722
4154,sore under tongue,0.22000785
4155,yeast infection,0.21999976
4156,sars disease,0.21997738
4157,fainting,0.21995163
4158,how to help a cough,0.21991065
4159,bad stomach,0.2198875
4160,bee sting allergy,0.21987607
4161,sexual transmitted disease,0.21986797
4162,tree diseases,0.21985298
4163,ssri,0.21981016
4164,signs of an ectopic pregnancy,0.21979228
4165,meningococcal disease,0.21970761
4166,fenugreek side effects,0.21968785
4167,blocked sinuses,0.21966287
4168,pink vaginal discharge,0.21961768
4169,codeine cough syrup,0.21961439
4170,tightness in throat,0.21952362
4171,nasal cavity,0.219412
4172,how to get rid of a bad cough,0.21938865
4173,zolpidem side effects,0.2193842
4174,treatment for pneumonia,0.21928544
4175,cramps during pregnancy,0.21924439
4176,best way to get rid of a cough,0.21922876
4177,remedies for cough,0.21916695
4178,paracetamol for sore throat,0.21915366
4179,the chills,0.21912448
4180,levothyroxine side effects,0.21909726
4181,shaking orgasm,0.21907979
4182,cold intolerance,0.21906324
4183,dizziness and pregnancy,0.21902601
4184,post nasal,0.21901727
4185,respiratory rate,0.21895996
4186,mrsa infection,0.21894926
4187,severe muscle pain,0.21894294
4188,shingles vaccine cost,0.2188645
4189,lymph system,0.21880347
4190,sore on tongue,0.2187826
4191,headache relief,0.21877232
4192,toddler rash,0.2187639
4193,hiv virus,0.2187631
4194,how to get rid of a tickly cough,0.21866775
4195,stomach bacteria,0.21855333
4196,staph infection,0.218541
4197,dog upset stomach,0.21852286
4198,bed bugs rash,0.21851082
4199,hurts to swallow,0.21843062
4200,childhood rashes,0.21841973
4201,sexually transmitted infections,0.21839467
4202,mouth sores pictures,0.21837589
4203,the cold,0.21832277
4204,urine smells,0.21829256
4205,what is tonsillitis,0.21826899
4206,sertraline headache,0.2182492
4207,get rid of a cold sore,0.21823725
4208,cellulitis,0.21815825
4209,blood in diarrhea,0.21812382
4210,flaccid paralysis,0.21812233
4211,bronchial,0.21812193
4212,neck stiffness,0.21806729
4213,swollen tonsils,0.21800742
4214,gilberts disease,0.21800487
4215,bubonic plague pictures,0.21797305
4216,dizziness after eating,0.21785812
4217,remedies,0.21779618
4218,baby rashes,0.21776477
4219,anti inflammatory diet,0.21771148
4220,chronic hiccups,0.21768627
4221,enbrel side effects,0.21768439
4222,loratadine side effects,0.21766916
4223,herpes of the mouth,0.21765415
4224,muscle diseases,0.21758598
4225,herpes,0.21757424
4226,how to get rid of a head cold,0.21756119
4227,stomach hurt,0.2175304
4228,knee muscles,0.21749054
4229,pains in stomach,0.21748185
4230,casein allergy,0.21748033
4231,hayfever medicine,0.21747081
4232,skin rash,0.21746509
4233,arm muscle pain,0.21742848
4234,corona cough,0.2174193
4235,herpes in the mouth,0.21740265
4236,lyme disease pictures,0.21733963
4237,facial swelling,0.2173239
4238,thoracic outlet syndrome symptoms,0.2172974
4239,ask medical questions,0.2172843
4240,whooping cough vaccine,0.21723671
4241,sarcoidosis,0.2172263
4242,mrsa infections,0.21718425
4243,psychotic depression,0.21717721
4244,very cold,0.21715812
4245,coronavirus deaths today,0.217038
4246,inner knee pain,0.21702468
4247,abscesses,0.21702367
4248,urine smell,0.21700965
4249,leg numbness,0.2170019
4250,stroke signs,0.2169979
4251,tonsils,0.2169419
4252,paracetamol for cold,0.21683164
4253,scabies images,0.21682554
4254,how long does runny nose last,0.2168056
4255,jabs,0.21678804
4256,hydrocortisone side effects,0.21678793
4257,mucus in lungs,0.21672907
4258,constant nose bleeds,0.21665552
4259,piratical disease,0.21664402
4260,lingual tonsils,0.2166391
4261,twitchy,0.21659502
4262,hunger pains,0.21658869
4263,herpes in mouth,0.21658233
4264,staff infection,0.21656767
4265,scabs in nose,0.2165501
4266,eczema rash,0.2165148
4267,lung diseases,0.21651335
4268,muscular pain,0.21650232
4269,productive cough,0.2164866
4270,sinus infection antibiotics,0.216467
4271,swollen hands,0.2164639
4272,normal respiratory rate,0.21644472
4273,cold in pregnancy,0.21640845
4274,deadliest virus,0.21637282
4275,how to soothe a sore throat,0.2163627
4276,lactose intolerance,0.2163217
4277,humira side effects,0.21629964
4278,kidney infection,0.21623984
4279,kawasaki disease,0.21623707
4280,best medicine for cold,0.21623063
4281,bug killer,0.21621588
4282,norovirus prevention,0.21619035
4283,hormonal headache,0.21614867
4284,snotty nose,0.21609329
4285,signs of melanoma,0.21609247
4286,kids cough,0.2159965
4287,celiac disease test,0.2159886
4288,fibromyalgia syndrome,0.21595639
4289,sore throat spray,0.2158628
4290,knee swelling,0.21584558
4291,fasciitis,0.21573487
4292,stress,0.21572407
4293,antihistamine nasal spray,0.21568033
4294,gout pain,0.2156548
4295,swollen pussy,0.21563676
4296,diagnosis code,0.2156248
4297,unblock sinuses,0.215621
4298,antibodies,0.21561529
4299,feline asthma,0.2155666
4300,spontaneous bacterial peritonitis,0.21555938
4301,headache left side,0.21551764
4302,muscle strain,0.21550184
4303,a uti,0.21544784
4304,cold,0.21543449
4305,lamotrigine side effects,0.21543199
4306,chest infection,0.21542728
4307,immunisations,0.21540812
4308,thyroid symptoms in men,0.2153939
4309,gabapentin side effects,0.21538973
4310,swollen lymph nodes neck,0.21536896
4311,e coli bacteria,0.21535946
4312,how to treat a sinus infection,0.21531479
4313,chronic migraines,0.21530968
4314,infliximab,0.21528089
4315,facial cellulitis,0.21519428
4316,hayfever eye drops,0.21518123
4317,chronic diseases,0.21504763
4318,why do we cough,0.21503499
4319,temple headache,0.21500093
4320,how to cough,0.21491164
4321,urgent care,0.21490678
4322,oral cancer,0.21486071
4323,urine odor,0.21483761
4324,iud side effects,0.21473059
4325,cortisone side effects,0.21471421
4326,bbc weather pollen,0.21471414
4327,back spasms,0.21468237
4328,lupus disease,0.21467173
4329,vaccine pregnancy,0.21466894
4330,antiviral for covid,0.21459746
4331,see a doctor,0.21458991
4332,how to treat bronchitis,0.21458355
4333,what does a yeast infection look like,0.21454343
4334,penicillin,0.21443738
4335,antibiotics for bronchitis,0.21442413
4336,headache pressure points,0.21435043
4337,rheumatic,0.2143473
4338,plague doctor,0.21425956
4339,bloating and gas,0.21424805
4340,ringworm in humans,0.2142001
4341,back of knee pain,0.21409449
4342,shortness of breath,0.21405487
4343,tuberculosis,0.21405217
4344,conjunctivitis,0.21402854
4345,being cold,0.21392861
4346,why does my nose bleed,0.21391705
4347,acid reflux symptoms,0.21390754
4348,apple cider vinegar sore throat,0.21385007
4349,norovirus how long,0.21382095
4350,pressure headache,0.21381617
4351,morphine side effects,0.21380198
4352,severe gas pain,0.21363337
4353,salmonella treatment,0.21363235
4354,foods that cause inflammation,0.21353838
4355,tired,0.21353483
4356,pregnancy rash,0.21353453
4357,hyperthyroidism symptoms,0.21343869
4358,lethargy,0.2134262
4359,measles nhs,0.21342012
4360,oral warts,0.21337366
4361,itchy eyes,0.21334001
4362,hernia symptoms in women,0.21328944
4363,child coughing at night,0.21327189
4364,online medical diagnosis,0.21326607
4365,antiviral medications,0.21326391
4366,blood from nose,0.21324375
4367,shoulder pain,0.21321276
4368,stroke warning signs,0.21321015
4369,mirena iud side effects,0.21319395
4370,kidney infections,0.21319342
4371,oral hygiene,0.21319024
4372,drain sinuses,0.21318446
4373,malaria vaccine,0.21317479
4374,chronic uti,0.21313255
4375,miscarriage signs,0.21312232
4376,winter depression,0.2130985
4377,signs of sunstroke,0.21309036
4378,diagnosis codes,0.21308805
4379,abscess on gum,0.21302566
4380,non communicable diseases,0.2129907
4381,what is crohns disease,0.2129086
4382,the bubonic plague,0.21284655
4383,can adults get chicken pox,0.21284401
4384,grass pollen allergy,0.21283369
4385,knee pain from running,0.2128017
4386,headache top of head,0.21279496
4387,oral stds,0.21276128
4388,health statistics,0.21274361
4389,cinnamon diabetes,0.21273263
4390,west nile disease,0.21270716
4391,communication disorders,0.21270008
4392,cure sore throat,0.21268947
4393,frequent nose bleeds,0.21264821
4394,mouth wash,0.21257967
4395,rash pictures,0.21256727
4396,depression in women,0.21255603
4397,biliary colic,0.21248466
4398,antiviral tablets,0.21246076
4399,bad chest infection,0.2124486
4400,5th disease,0.21237297
4401,headache right side,0.21237242
4402,ophthalmic migraine,0.21236561
4403,causes of fatigue,0.21236184
4404,ovulation cramps,0.212339
4405,acute respiratory distress syndrome,0.21233621
4406,symptoms of heartburn,0.21232536
4407,mucus plug,0.21231288
4408,a sore,0.21221852
4409,covid ibuprofen,0.21218541
4410,lateral knee pain,0.21216857
4411,urinary tract infections,0.2121088
4412,multiple sclerosis news,0.21203531
4413,what causes diarrhea,0.21201074
4414,twitching eye,0.21196982
4415,lack smell,0.21196622
4416,ranitidine side effects,0.21188535
4417,migraines in children,0.21187356
4418,esophageal sphincter,0.21187326
4419,mosquito bite allergy,0.21179914
4420,your health,0.21178341
4421,urine infection,0.2117607
4422,red blotches on face,0.2116952
4423,newborn jaundice,0.21168064
4424,swollen throat glands,0.21167617
4425,foot cramps,0.21164966
4426,childhood depression,0.2115542
4427,lyme desease,0.21154897
4428,uti,0.21153124
4429,reverse sneezing in dogs,0.21147995
4430,cold during pregnancy,0.21147451
4431,swollen eyelids,0.21142177
4432,tummy bug,0.21136563
4433,headache causes,0.21131243
4434,bee sting swelling,0.21130544
4435,swollen eyeball,0.21123101
4436,waking up with headaches,0.2112071
4437,side effects of omeprazole,0.21117039
4438,what is autoimmune disease,0.21109281
4439,pharyngitis nhs,0.21107525
4440,my nose is blocked,0.21104714
4441,atopic dermatitis,0.21101205
4442,asthmatic,0.21099064
4443,dogs with allergies,0.21090645
4444,wuhan virus,0.21085104
4445,exzema,0.21078154
4446,anxiety,0.21075533
4447,bowel movements,0.21074672
4448,what is fibromyalgia,0.2107026
4449,abdominal pain,0.21064991
4450,signs of miscarriage,0.21061993
4451,eye pain,0.21061833
4452,chest infections,0.21059875
4453,bronchitis treatments,0.2105441
4454,my stomach hurt,0.21054122
4455,how long does a virus last,0.21053368
4456,ectopic pregnancy signs,0.21052638
4457,knee pain relief,0.21049052
4458,celiac disease in children,0.21048225
4459,heartburn symptoms,0.2104801
4460,bed bug eggs,0.21047994
4461,legionnaires disease,0.21046916
4462,als disease,0.2104455
4463,weather pollen count,0.2104393
4464,cough syrup with codeine,0.21043877
4465,schizophrenia in children,0.21043526
4466,can you get tonsillitis without tonsils,0.21042417
4467,cough medicine,0.21041898
4468,herpes mouth,0.21040207
4469,medical questions,0.21038926
4470,coronavirus live,0.21026598
4471,side effects of alcohol,0.21020357
4472,sore jaw,0.21010202
4473,genital rash,0.21008866
4474,soar throat,0.20991482
4475,eye disease,0.2098971
4476,covid19 world,0.20987038
4477,dog rash,0.20986813
4478,best cough remedy,0.20984282
4479,visual migraine,0.20982963
4480,dog skin allergies,0.20982274
4481,itching all over,0.20980747
4482,cramps after sex,0.20980743
4483,eye irritation,0.20980197
4484,sugar diabetes,0.20979638
4485,kissing disease,0.20979355
4486,mucous cyst,0.20969257
4487,what does a blood clot feel like,0.2096793
4488,chest pains,0.20966512
4489,cat ringworm,0.20965421
4490,borderline personality disorder symptoms,0.20963925
4491,high anxiety,0.20958284
4492,acute stress,0.20954299
4493,allergy remedies,0.20953017
4494,condition,0.20950387
4495,valium side effects,0.20945948
4496,tingling feet,0.20944813
4497,effects of stress,0.20942605
4498,sore back,0.20941444
4499,can you get norovirus twice,0.20940118
4500,how to help a sore throat,0.20938897
4501,wasp sting swelling,0.20935497
4502,dry flaky skin,0.20931105
4503,atypical depression,0.20930205
4504,muscle spasm,0.20928271
4505,inflammation diet,0.2092629
4506,quitting smoking side effects,0.20925519
4507,how to get rid of diarrhea,0.20907845
4508,newborn rash,0.20906684
4509,excessive saliva,0.20900694
4510,cns depression,0.20898984
4511,side effects of quitting smoking,0.20897824
4512,ask doctor,0.20897083
4513,male depression,0.20896974
4514,headache front of head,0.20895836
4515,spleen pain,0.20894036
4516,vaccine a,0.20890906
4517,coronavirus deaths,0.20888445
4518,hiv news,0.2088843
4519,diagnosis plural,0.20887293
4520,human immunodeficiency virus,0.2088313
4521,side effects of valium,0.20880866
4522,swollen lymph nodes armpit,0.20874634
4523,cold sweat,0.208742
4524,antiviral drugs,0.20871902
4525,best cold medicine,0.20871013
4526,symptoms of low testosterone,0.20861466
4527,intestinal worms,0.2085838
4528,radiation side effects,0.2085701
4529,cough lozenges,0.20856419
4530,laugh at my pain,0.2085357
4531,feed a cold,0.20853382
4532,psoriasis arthritis,0.20852327
4533,ebv virus,0.20850354
4534,kids hayfever,0.20848465
4535,white matter disease,0.20842528
4536,naproxen side effects,0.2083708
4537,bleeding gums,0.20835033
4538,ocular migraine,0.2083202
4539,cortisol deficiency,0.20823272
4540,concussion test,0.20819962
4541,non drowsy hayfever tablets,0.20818064
4542,heat rash,0.20807897
4543,diabetes wiki,0.20800258
4544,rsv vaccine,0.20799047
4545,rheumatoid nodules,0.20791176
4546,nhs covid vaccine,0.20789383
4547,diarrhea song,0.20786047
4548,complex migraine,0.20785877
4549,what is the norovirus,0.20780545
4550,antiviral medicine,0.20779549
4551,autism diagnosis,0.2077869
4552,numbness in,0.20777708
4553,chaos and pain,0.20777634
4554,the mayo clinic,0.2077691
4555,yeast allergy,0.20776856
4556,nipple soreness,0.20776477
4557,depression and,0.20775004
4558,sinex nasal spray,0.20773228
4559,home remedies for hayfever,0.2077139
4560,antibiotics for pneumonia,0.20769683
4561,cough up,0.20767228
4562,tickly cough medicine,0.20760176
4563,cortisone shot side effects,0.20752457
4564,food allergy,0.20752269
4565,how to get rid of cold fast,0.20745337
4566,lung problems,0.20736742
4567,running cold,0.20729128
4568,aids facts,0.20724049
4569,chicken pox how long,0.20719129
4570,best medicine for cough,0.20716226
4571,sugar cravings,0.2071564
4572,fifth disease,0.20713414
4573,high pollen,0.20711012
4574,spinal arthritis,0.20710841
4575,tongue bumps,0.20708966
4576,pubmed health,0.20707606
4577,what dries up a runny nose,0.20706181
4578,exhaustion,0.20704699
4579,liver inflammation,0.20702207
4580,hayfever count,0.20692551
4581,childhood schizophrenia,0.20692067
4582,chronic hives,0.2068902
4583,swollen tongue,0.20687512
4584,rebound headaches,0.20686424
4585,sclerosis,0.20684856
4586,nose spray,0.20677552
4587,aids test,0.20676178
4588,throat sweets,0.20675506
4589,what is cystic fibrosis,0.20675048
4590,blood in nose,0.20671098
4591,side effects of clomid,0.2066502
4592,rash on stomach,0.20658319
4593,infant rash,0.2065798
4594,cryptic tonsils,0.20656262
4595,chemo side effects,0.20654503
4596,mild herpes,0.20648697
4597,measles jab,0.20646653
4598,pictures of rashes,0.20645508
4599,rheumatology,0.20642519
4600,metastatic disease,0.2063964
4601,strep throat nhs,0.20638955
4602,mood disorder,0.20635536
4603,old cold,0.20631397
4604,coronavirus latest,0.20624243
4605,common cold remedies,0.20624076
4606,low testosterone symptoms,0.20619154
4607,severe acute respiratory syndrome,0.20618597
4608,head pain,0.20618191
4609,for diarrhea,0.20613538
4610,dry sensitive skin,0.20608486
4611,yellow urine,0.20607126
4612,headache on top of head,0.20601435
4613,how to get rid of a cough,0.2060037
4614,vaginal infections,0.20597072
4615,water poisoning,0.20593384
4616,wrist pain,0.20592576
4617,contractions feel like,0.20592569
4618,headache at front of head,0.20592052
4619,bronchitis treatment,0.20588028
4620,statins side effects,0.20586541
4621,batten disease,0.20586433
4622,health problems,0.20582554
4623,furosemide side effects,0.20580515
4624,propofol side effects,0.20580024
4625,coronavirus london,0.20578974
4626,red rash on baby,0.20574932
4627,shingles photos,0.20568767
4628,statin side effects,0.20568673
4629,skin rashes that itch,0.20560782
4630,eye swollen,0.20558658
4631,twinges,0.20556474
4632,jaundice in adults,0.20555124
4633,hip joint pain,0.20552167
4634,post nasal drip treatment,0.20550662
4635,topiramate side effects,0.20544551
4636,chicken pox vaccination,0.2052867
4637,world aids day,0.20527023
4638,how to get rid of cough,0.20525949
4639,propranolol side effects,0.20525348
4640,heat cramps,0.20516463
